REGION_NAME,STATE/REGION,NAICS,NAICS_LDESC,LEVEL,YEAR,GDP,EST_POP
Arizona,AZ,"54,55,56",Professional and business services,0,2010,27563100000.0,6407342
Arizona,AZ,54,"Professional, scientific, and technical services",2,2010,14140800000.0,6407342
Arizona,AZ,5411,Legal services,4,2010,2410100000.0,6407342
Arizona,AZ,5415,Computer systems design and related services,4,2010,2728500000.0,6407342
Arizona,AZ,"5412-5414,5416-5419","Miscellaneous professional, scientific, and technical services",4,2010,9002200000.0,6407342
Arizona,AZ,55,Management of companies and enterprises,2,2010,2774600000.0,6407342
Arizona,AZ,56,Administrative and support and waste management and remediation services,2,2010,10647600000.0,6407342
Arizona,AZ,561,Administrative and support services,3,2010,9673400000.0,6407342
Arizona,AZ,562,Waste management and remediation services,3,2010,974300000.0,6407342
Arizona,AZ,"61,62","Educational services, health care, and social assistance",0,2010,24321500000.0,6407342
Arizona,AZ,61,Educational services,2,2010,3329100000.0,6407342
Arizona,AZ,62,Health care and social assistance,2,2010,20992500000.0,6407342
Arizona,AZ,621,Ambulatory health care services,3,2010,11403100000.0,6407342
Arizona,AZ,622,Hospitals,3,2010,6602700000.0,6407342
Arizona,AZ,623,Nursing and residential care facilities,3,2010,1642400000.0,6407342
Arizona,AZ,624,Social assistance,3,2010,1344200000.0,6407342
Arizona,AZ,"71,72","Arts, entertainment, recreation, accommodation, and food services",0,2010,10501100000.0,6407342
Arizona,AZ,71,"Arts, entertainment, and recreation",2,2010,2054800000.0000002,6407342
Arizona,AZ,711-712,"Performing arts, spectator sports, museums, and related activities",3,2010,1055900000.0000001,6407342
Arizona,AZ,713,"Amusement, gambling, and recreation industries",3,2010,998900000.0,6407342
Arizona,AZ,72,Accommodation and food services,2,2010,8446299999.999999,6407342
Arizona,AZ,721,Accommodation,3,2010,2723100000.0,6407342
Arizona,AZ,722,Food services and drinking places,3,2010,5723200000.0,6407342
Arizona,AZ,81,Other services (except government and government enterprises),2,2010,4926000000.0,6407342
Arizona,AZ,92,Government and government enterprises,2,2010,36509500000.0,6407342
Arizona,AZ,..2,Federal civilian,1,2010,6444100000.0,6407342
Arizona,AZ,..3,Military,1,2010,3953500000.0,6407342
Arizona,AZ,..4,State and local,1,2010,26111800000.0,6407342
Arizona,AZ,"11,21",Natural resources and mining,0,2010,7749400000.0,6407342
